year,movie,actor,dialogue,englishDialogue
1973,Yaadon Ki Baaraat,Vijay Arora,Pilana bhi farz tha toh kuch bhi pila diya hota ... sharaab kam thi toh pani mila diya hota,"If it was your duty to make me drink, then you could have given me anything ... if the alcohol was less, then you could have added some water"
1973,Yaadon Ki Baaraat,Dharmendra,Main apne plan khud banata hoon,I make my own plans
1973,Yaadon Ki Baaraat,Dharmendra,In kandhon par wahi sar hai jisne katna seekha hai ... jhukna nahi,The head on these shoulders has learnt to be chopped ... but not to bow down
1973,Yaadon Ki Baaraat,Dharmendra,Main tere napaak khoon se haath nahi rangoonga,I won't color my hands with your dirty blood
1973,Yaadon Ki Baaraat,Dharmendra,Joh apni jaan par khelte hai ... woh apni manzil par khud pahunch jaate hai,People who play with their life ... they reach their destination by themselves
1974,Ishk Ishk Ishk,Dev Anand,Intezari ka waqt aur dil se bahut taluk hota hai ... jab humne intezar kiya toh unka dil nahi tha ... aur jab unhone intezar kiya toh hamara dil nahi tha,There is a big connection between waiting time and the heart ... when I was waiting then her heart was not there ... and when she was waiting then my heart was not there
1974,Ishk Ishk Ishk,Dev Anand,"Ghar ek qila ki tarah hota hai ... aur us mein basne waale log maa, baap, bhai, behen, bachche uski deewar ... kisi bhi deewar mein zara si bhi daraar padh jaye ... toh deewar hi nahi gir jaati balki ghar hi toot girta hai","A home is like a fort ... and the people who live it like mother, father, brother, sister, children are its walls ... if even a small crack builds in any of the walls ... then not only the wall falls but also the entire house breaks and falls"
1974,Ishk Ishk Ishk,Zeenat Aman,"Agar ichcha mein bal ho toh woh azaad hoti hai ... aur shakti bhi azaadi se aati hai, bandish se nahi",If your desires are strong then they are free ... and even strength comes from freedom and not from restriction
1973,Zanjeer (1973),Amitabh Bachchan,Jab tak baithne ko na kaha jaaye sharafat se khade raho ... yeh police station hai ... tumhare baap ka ghar nahi,Stand straight until you are told to sit ... this is a police station ... not your father's house
1973,Zanjeer (1973),Pran,Sher Khan ne shaadi nahi ki toh kya hua ... lekin baaraatein bahut dekhi hai,So what if Sher Khan is not married ... he has seen a lot of processions
1973,Zanjeer (1973),Pran,Is ilaaqe mein naye aaye ho sahab? ... varna Sher Khan ko kaun nahi jaanta,"Sir, are you new in the area? ... otherwise who does not know Sher Khan"
1973,Zanjeer (1973),Pran,Aaj zindagi mein pehli baar ... Sher Khan ki sher se takkar hui hai,For the first time in life ... Sher Khan has come across a tiger
1973,Zanjeer (1973),Pran,Baarah junglee kutte milkar sher ko maar daalte hai,12 wild dogs together killed the tiger
1973,Zanjeer (1973),Pran,Sher Khan aaj ka kaam kal par nahi chodta,Sher Khan does not leave today's work for tomorrow
1973,Zanjeer (1973),Ajit Khan,Kutta jab pagal ho jaata hai toh usse goli maar dete hai,When a dog does mad then we shoot him
1973,Zanjeer (1973),Pran,Sher Khan kaale ka dhanda karta hai ... lekin imaandari se,Sher Khan does black money business ... but with honesty
1973,Zanjeer (1973),Pran,Hum aaya tha karza lene ke liye ... par tumne Sher Khan ko khareed liya,I had come to take a loan ... but you bought Sher Khan himself
1973,Zanjeer (1973),Pran,Chillaaoo nahi sahab ... gala kharab ho jayega,Don't shout sir ... your throat will go bad
1973,Zanjeer (1973),Ajit Khan,"Aao Vijay, baitho aur hamare saath ek scotch piyo ... hum tumhe kha tohdi jaayenge ... vaise bhi hum vegetarian hai","Come Vijay, sit and have a scotch with me ... I won't eat you ... by the way I am a vegetarian"
1973,Zanjeer (1973),Ajit Khan,Jis tarah kuch aadmiyo ki kamzori baimaani hoti hai ... is hi tarah kuch aadmiyo ki kamzori imaandari hoti hai,Just like some people have cheating as their weakness ... just like that some people have honesty as their weakness
1973,Zanjeer (1973),Amitabh Bachchan,Aaj ke baad apne aadmiyo se keh do ki hamesha tumhare nazdeek rahe ... kyun ki tumhari nazdeek ki nazar kamzor hai,From today tell your men to always stay near you ... because you have farsightedness
1973,Zanjeer (1973),Pran,Sher Khan khud aaya tha khud chala jayega,Sher Khan came by himself and will himself go
1973,Zanjeer (1973),Ajit Khan,Apni umar se badhkar baatein nahi karte,You shouldn't talk about things bigger than your age
1973,Zanjeer (1973),Amitabh Bachchan,Khaane ke saath cigarette peena bahut buri baat hai,Smoking a cigarette while eating food is a very bad thing
1973,Zanjeer (1973),Jaya Bhaduri Bachchan,Kuch logon ke liye tumhare dil mein itni nafrat bhar gayi hai ... ke pyar ke liye tumhare dil mein zara bhi jagah nahi bachi,Hatred for a few people has filled up your heart such that ... you don't have any space left for love in your heart
1973,Zanjeer (1973),Ajit Khan,Achche khareedar hamesha sauda karne se pehle ... doosre ki keemat ka andaza lagate hai,Before making a deal good buyers always ... surmise the value of the other person
1973,Zanjeer (1973),Amitabh Bachchan,Kal subah tak tumhare sab juakhane aur kaale dhandhe band ho jaane chahiye,Till tomorrow morning all your casino's and black market businesses should be closed out
1973,Zanjeer (1973),Satyendra Kapoor,Joh haath angaare ko chupaye ... angaara us hi haath ko jalaa deta hai,The hands who will hide the burning coal ... the burning coal will burn the same hands
1974,Aap Ki Kasam,Sanjeev Kumar,Dukh toh sabhi ki zindagi mein hota hai ... kisi ko bin maange mil jaata hai meri tarah ... aur koi jaan-mooch ke modh le leta hai tumhari tarah,Everyone has sorrow in their life ... some people like me get it without asking for it ... and some people like you purposely call for it
1974,Aap Ki Kasam,Sanjeev Kumar,"Tum mere jeevan mein us rog ki tarah ho ... jis mein aadmi ghulta rehta hai, tadapta rehta hai ... na jee sakta hai, na mar sakta hai","You're like a disease in my life ... in which a person keeps sulking, keeps wriggling ... where neither can he live, nor can he die"
1974,Aap Ki Kasam,Sanjeev Kumar,Dost ki galati bhi dosti ki saughat hoti hai,Even the mistake of a friend is a gift in friendship
1974,Aap Ki Kasam,Rehman,Shaadi shuda zindagi ki buniyad hai ... pati aur patni ka ek doosre par atal vishvas,The foundation of a married life is ... the strong trust of a husband and wife on each other
1974,Aap Ki Kasam,Sanjeev Kumar,Tera shaq tujhe kha gaya ... ek chingari aag bani aur ek insaan jal gaya,Your suspicion destroyed you ... one flame turned into a fire and one person got burnt
1974,Khote Sikkay,Feroz Khan,Aurat tawaif vichaaron se banti hai ... peshe se nahi,A woman becomes a prostitute with her thoughts ... not by her occupation
1974,Khote Sikkay,Narendra Nath,Chaku chalane ke liye kalai nahi kaleja chahiye ... joh bazaar mein nahi bikta,"To use a knife you don't need a wrist, you need courage ... which doesn't sell in the market"
1974,Khote Sikkay,Narendra Nath,"Armaan dabaye ja sakte hai, chupaye ja sakte hai ... lekin jalaye nahi ja sakte","Desires can be suppressed, they can be hidden ... but they can't be burned"
1974,Khote Sikkay,Narendra Nath,Chaku aur churi ke bal pe jeene waale log ... ek din khud chaku churi ke neeche aa jaate hai,Those who live on the support of knives and cutters ... one day they themselves come under the knives and the cutters
1974,Kunwara Baap,Mehmood,Petrol ka bhav badh gaya ... tarkaari ka bhav badh gaya ... tera bhav bhi badh gaya kya?,The price of petrol has gone up ... the price of vegetables has gone up ... has your price also gone up or what?
1974,Kunwara Baap,Mehmood,Inhe aaisa kadva aadmi hai ki agar ganderi khake thukenga ... toh uspe makkhi bhi nahi behethengi,He is such a bitter person that if he eats sugarcane and spits ... then even a mosquito won't sit on that
1974,Majboor,Pran,Mujhe aaj tak kisi ka khoon karne ki zaroorat hi nahin padi,To date I haven't had the need to kill anyone
1974,Majboor,Amitabh Bachchan,Maine revolver pehli baar uthaya hai ... lekin itna jaanta hoon ki trigger dabane se goli chalti hai,I have picked a revolver for the first time ... but I know that a bullet fires on pressing the trigger
1974,Majboor,Amitabh Bachchan,Ek taraf maut hai ... doosri taraf maut se battar zindagi,One side there is a death ... and on the other side there is life which is worst than death
1974,Majboor,Amitabh Bachchan,Itni aasani se tujhe maut nahi aane waali ... tujhe toh jail ki kali kothri mein maut ka intezaar karna padega,Death will not come to you so easily ... you will have to wait for death inside the dark cell of a jail
1974,Majboor,Amitabh Bachchan,Ek khoon ki saza phansi ... aur do khoon ki saza bhi sirf phansi,The punishment for one murder is execution ... and the punishment for two murders is still execution
1974,Roti,Rajesh Khanna,"Insaan ko dil de, jism de, dimaag de lekin yeh kambakht pet mat de ... usse pet deta hai toh usse bhook mat de ... usse bhook deta hai toh do waqt ki roti ka intezam karke bhej ... varna tujhe insaan ko paida karne ka koi haq nahi hai","Give a heart, body, brain to a human but don't give this wretched stomach ... if you give a stomach then don't give him hunger ... if you give him hunger then send him with food arranged for twice a day ... or else you don't have the right to create humans"
1974,Roti,Mumtaz,"Aadmi ke seene mein khanjar bhokane se woh sirf ek baar marta hai ... lekin jab kisi ka dil tootta hai na toh usse bar-bar marna padta hai, har roz marna padta hai","By stabbing a person with a knife he dies only once ... but when someone's heart breaks then he has to die many a times, he has to die everyday"
1974,Roti,Rajesh Khanna,Agar is samaaj aur society se paap aur gunaah ko hamesha ke liye khatam karna hai ... toh un shaitano ko khatam karna hoga joh chand sikkon ki khatir gareebon ki sharafat aur insaaniyat khareedkar unke dilon mein gunaah ka bheej bohte hai ... paap ke saaye mein unki parvarish karte hai ... logon ka khoon pilakar unhe badne par majboor karte hai,If we want to eradicate sin and crime from today's society forever ... then we'll have to finish those devils who for a little bit of money buy the honesty and humanity of the poor and sow the seeds of crime in their hearts ... who raise them in the shadow of sin ... who compel people to drink blood of others and grow
1974,Roti,Rajesh Khanna,"Roti roti mein bhi farak hota hai mere dost ... ek roti woh hoti hai joh cheenke khai jaati hai jis mein kisi ke khoon ki boo aati hai ... lekin mujhe woh roti chahiye jis mein kisi ke khoon ki boo nahi, balki mere paseene ki mehak aati ho","My Friend there is a difference even between breads ... there is one type of bread which is eaten by snatching and which has the smell of someone's blood ... but I want that bread which doesn't have the smell of someone's blood, but instead has the fragrance of my sweat"
1974,Roti,Rajesh Khanna,Kasoor mera nahi roti ki kasam ... bhook ki duniya mein imaan badal jaate hai,I swear on bread it's not my fault ... in the world of hunger people change their faith
1974,Roti,Rajesh Khanna,"(Kaun ho tum?) ... Kahi naam hai mere ... gareeb maa baap mujhe apna beta kehte hai, mazloom ladkiyan apna bhai ... besahare yateemon ka dost hoon aur zalimon ka dushman","(Who are you?) ... I have many names ... poor parents call me as their son, victimized girls as their brother ... I'm a friend of the helpless and an enemy of the vicious"
1989,Bandook Dahej Ke Seenay Par,Anita Kanwar,Jitni badi kranti lani hoti hai ... utni hi badi shanti ki zaroorat hoti hai,The bigger the revolution that you want to bring ... that much more silence you need to have
1989,Bandook Dahej Ke Seenay Par,Shashi Kapoor,Jal se shareer ka snaan hota hai aur aasoon se atma ka,A body bathes with water and the soul with tears
1989,Bandook Dahej Ke Seenay Par,Shekhar Suman,"Ek police officer duty par mahez ek police officer hota hai ... wahan na koi behen hoti hai, na bhai hota hai ... wahan na koi rishta hi hota hai aur na hi koi naata","A police officer on duty is nothing but a police officer ... there is no sister there, there is no brother there ... there is no relation there and neither a connection"
1989,Bandook Dahej Ke Seenay Par,Anita Kanwar,"Jiske tann mein Isa, mann mein Allah aur atma mein Om basa hai ... uska duniya ki koi bhi taqat baal bhi bhaka kar sakti hai kya","The one who has Jesus in his body, Allah in his heart and Om in his soul ... no power of this world can even affect him"
1989,Bandook Dahej Ke Seenay Par,Anita Kanwar,Dahej ke laalchi kutton ke dil mein aaisi dehshat pehda kar denge ... ki dahej lena toh kya ... dahej ka naam sunte hi kaanp uthenge,We will invoke such a fear in the hearts of the dogs who are greedy for dowry ... that forgive taking dowry ... they will shiver just by hearing the name of dowry
1989,Bandook Dahej Ke Seenay Par,Shekhar Suman,Vishwasghaat toh woh paap hai ... jisse bhagwan bhi maaf nahi karta,Betrayal is that sin ... which even god doesn't forgive
1989,Bandook Dahej Ke Seenay Par,Anita Kanwar,Ek aur ek do nahi ... gyarah hote hai,One and one is not two ... it is eleven
1989,Bandook Dahej Ke Seenay Par,Sadashiv Amrapurkar,Jab chacha Shaadilal par chhod di hai baat ... toh koi na koi rishta zaroor aayega haath,When you have trust in your uncle Shaadilal ... then some connection will definitely come forward
1989,Bandook Dahej Ke Seenay Par,Anita Kanwar,Yeh chandi ke sapne aur sone ki saansein lete the ... lekin inhe nahi malum tha ... ki chandi ke sapne pranon par zanjeer ban jaate hai ... aur sone ki saansein atma mein zehar gholne lagti hai,They used to go for the dreams of silver and the breathe of gold ... but they didn't know that ... the dreams of silver become the shackles on life ... and the breathe of gold mixes poison into the soul
1989,Batwara,Shammi Kapoor,Joh sar par kafan bandkar nikalte hai ... woh anjaam nahi sochte,Those who leave wearing a shroud on their head ... they don't think about the consequence
1989,Batwara,Bharat Kapoor,Pyar aur dushmani mein ek hi kadam ka faasla hove hai,There is only a difference of one step between love and enmity
1989,Batwara,Dharmendra,Goli ka jawab goli se denge aur loot ka jawab loot se,In reply we will give a bullet for a bullet and theft for a theft
1989,Batwara,Vinod Khanna,"Dost marte hai, dosti nahi marti","Friends die, but friendship doesn't die"
1989,Batwara,Dharmendra,Yeh maut ka shehar hai ... is shehar ki galiyon mein andhera hi andhera hai,This is the city of death ... and there is darkness in the streets of this city
1989,Dana Paani,Deven Verma,Jab tak chance rahega baki ... main nahi bandwaonga rakhi,Until there is a chance ... I won't get the thread of brotherhood tied from you
1989,Dana Paani,Mohan Choti,Bijnor mein gunda pakda gaya ... hairan hoon is daur mein gunda pakda gaya,A goon was caught in Bijnor ... I'm surprised that a goon was caught in this era
1989,Dana Paani,Deven Verma,"Pajame ne kaha dhoti se ... bane hum dono ek dhaage se ... farak agar hai hum mein toh sirf itna ... tu khulti peeche se, main aage se",The pajama said to a loincloth ... we both are made from one thread ... if there is a difference between us then it's only that ... you open from the back and I open from the front
1989,Dana Paani,Padmini Kolhapure,"Bambai ki ladki aur Bambai ki barish ... kabhi bhi aayegi, kabhi bhi jayegi",Mumbai girls and Mumbai rains ... they come anytime and they go anytime
1989,Chaalbaaz,Shakti Kapoor,"Mein ek nanha sa, pyara sa, chota sa bachcha hoon","I am a tiny, lovable, small baby"
1989,Chaalbaaz,Sridevi,Tujhe toh main all India star bankar dikhaongi,I will become an all India star and show you
1989,Chaalbaaz,Shakti Kapoor,Main aaya hoon yahan par tere liye ... aur tu banayi gayi hai mere liye,I have come here for you ... and you are made for me
1989,Chaalbaaz,Sridevi,Main madira nahi peeti ji,I don't drink alcohol
1989,Chaalbaaz,Rajinikanth,"Aaj Sunday hai, toh daru peene ka din hai","Today is Sunday, so it is a day to drink alcohol"
1989,Chandni,Vinod Khanna,Dard ki dawa na ho ... toh dard ko hi dawa samajh lena chahiye,If there is no medicine for pain ... then you should consider pain as the medicine itself
1989,Chandni,Sridevi,Jab tum mujhe apna kehte ho ... apne pe guroor aa jaata hai,When you call me your own ... I feel proud of myself
1989,Chandni,Vinod Khanna,Raaton ko jaagna meri kismat ban chuki hai,It has become my fate to stay awake at night
1989,Chandni,Sridevi,Pyar hawa ka ek jhonka hai ... joh sab udakar le jaata hai,Love is a gust of wind ... which blows away everything
1989,Chandni,Sridevi,"Jeevan ke kis modh pe, kab koi mil jaaye ... kaun keh sakta hai?","On what path of life, whom do we meet ... who can say that?"
1989,Chandni,Rishi Kapoor,Hum Delhi waale mulk ke saath saath ... dil pe bhi hukumat karna jaante hai,We Delhiites along with ruling over the country ... also know how to rule over the heart
1989,Billoo Baadshah,Govinda,"Yeh baatein bekaar ki nahin ... intezaar ki hain, ikraar ki hain, methe methe pyar ki hain","These talks are not a waste ... they are of waiting, they are of acceptance, they are of sweet sweet love"
1989,Billoo Baadshah,Govinda,Bhagwan ne aapko daulat toh zaroorat se zyada di hai ... magar dil dene mein thodi si kanjhoosi kar gaya,God gave you wealth more than what you need ... but when it came to the heart he was a little stingy
1989,Billoo Baadshah,Govinda,Tumhe insaanon se nahin ... paison se pyar hai,You don't love humans ... you love money
1989,Billoo Baadshah,Shatrughan Sinha,Daulat aapke is ghar ke nizaam ko zaroor badal sakti hai ... lekin vidhi ke vidhan ko nahi badal sakti,Wealth can definitely change the ruler of your house ... but it can't change destiny
1989,Billoo Baadshah,Govinda,"Insaan apne vyavhaar, apne charitra, apni zubaan aur apne dil se amir hota hai","A human gets rich from his behavior, his principles, his words and from his heart"
1989,Billoo Baadshah,Govinda,Yeh unnees reel ki film hai ... aage aage dekho hota hai kya,This film has 19 reels ... keep watching what happens ahead
1989,Billoo Baadshah,Kader Khan,Inki zindagi ke lifaafe par ... upar jaane ka tickut toh lagai dena,On the envelope of his life ... put a ticket to go up (to God)
1989,Billoo Baadshah,Govinda,"Sone chandi ke bartano mein khana khane waala amir nahi hota hai ... aircondition caron mein ghoomne waala amir nahi hota hai ... aaise sangemarmar ke bunglay mein rehne waala amir nahi hota hai ... besaharon ko sahara dena waala amir hota hai ... rote hue ko hasane waala amir hota hai ... marne waala nahin, bachane waala amir hota hai","The one who eats food in golden and silver plates is not a rich person ... the one who roams around in aircondition cars is not a rich person ... the one who lives in a bungalow made from marble is not a rich person ... one who helps the needful is a rich person ... one who makes a crying person laugh is a rich person ... the one who kills is not, the one who saves is a rich person"
1989,Billoo Baadshah,Kader Khan,"Raat toh gayi, magar baat nahin gayi","The night is over, but the talk isn't over"
1989,Billoo Baadshah,Gulshan Grover,Bhaag kar kahan jaaogi? ... darwaza dono taraf se bandh hai,Where will you run and go? ... the door is closed from both sides
1989,Billoo Baadshah,Shatrughan Sinha,Tere gande shareer se ... teri paapi aatma ko mukt kar doonga,From your dirty body ... I'll release your evil soul
1989,Billoo Baadshah,Shatrughan Sinha,Insaan ko insaan ka hi kaam karna chahiye ... bhagwan ka nahi,Humans should only do the work of humans ... not of God
1989,Billoo Baadshah,Gulshan Grover,Kaale brahman pe haath uthake ... tune shani ki mahadasha ko bulaya hai,By putting your hands on a black brahman ... you have called for the bad stars in your horoscope
1989,Billoo Baadshah,Shatrughan Sinha,"Aaj ke baad main tujhe kahin bhi, kabhi bhi, kissi bhi waqt maar daloonga","After today I will kill you anywhere, anytime, at any moment"
1989,Dost (1989),Asrani,Pati patni ki narazgi garmiyon ki barsaat ki tarah hoti hai ... joh hamesha nahi rehti,The fight between a husband and wife is like the rain in summer ... it doesn't last forever
1989,Dost (1989),Asrani,Lagta hai tum aasman se tapki ho ... upar se neeche aakar zameen par chamki ho ... uparwaale ne kya super kaam kiya hai ... tujhe fursat mein bana diya hai,Looks like you have come from the sky ... you have shined on the ground after coming from the top ... god has done such a great work ... he has made you with a lot of time
1989,Dost (1989),Mithun Chakraborty,Inteqam ka josh farz aur sachai ka sar kabhi nahi jhuka sakta,The passion for revenge can never bow down the head of duty and truth
1989,Dost (1989),Mithun Chakraborty,Aurat zindagi leti nahi ... zindagi deti hai,A woman doesn't take a life ... she gives one
1989,Jaadugar,Amitabh Bachchan,"Leader ke jazbaat ka, Bambai ki barsaat ka aur producer ki baat ka ... kabhi bharosa karna nahi chahiye","You should never trust ... the emotions of a leader, the rain of Mumbai and the words of a producer"
1989,Jaadugar,Amitabh Bachchan,Ek andha bhi mann ki aankhon se bahut kuch dekh leta hai ... lekin andhvishvasi toh tann aur mann dono ki aankhen kho behetta hai,"Even a blind person can see a lot from the eyes of his heart ... but a superstitious person loses both, the eyes of his body and that of his heart"
1989,Jaadugar,Amitabh Bachchan,"Hum toh yeh samajhkar aapke paas aaye the, ki hum apni samajh ko aapki samajh ke charano mein rakh denge ... aur aap is nasamajh ki bina samajhayi hui samajh ko, apni samajhdari se samajhake sabko yeh samajha denge ki hum samajh gaye ... lekin aap samajhenge nahi ... samajh gaye na?","I came to you thinking that, I'll keep my thinking under the feet of your thinking ... and that with your sensible thinking you'll make everyone understand that, the foolish thinking of this silly person now understands ... but you won't understand that ... do you understand?"
1989,Jaadugar,Amitabh Bachchan,Bhagwan ka ansh har insaan ke andar hota hai,A portion of god is within every person
1989,Jaadugar,Amitabh Bachchan,Kalyug mein chamatkar ko hi namaskar kiya jaata hai,In the age of vice magic is saluted
1989,Gola Barood,Shafi Inamdar,Kanoon ek aaisa hathyar hai joh sau achaiyon ko bhool jaata hai ... magar ek galati ho jaye toh gardan kaat deta hai,The law is a weapon that forgets hundreds of good deeds ... but if you do one mistake then it'll cut your neck
